Number of nodes,311
Number of edges,276
Minimum degree,0
Maximum degree,19
Average degree,1.77491961414791
Median degree,1.0
Top ten degree,"[('580319078155468800', 0.06129032258064516), ('580340476949086208', 0.054838709677419356), ('580333763512705025', 0.04516129032258064), ('580339547269144576', 0.04516129032258064), ('580326222107951104', 0.035483870967741936), ('580336417391439872', 0.03225806451612903), ('580331561398108160', 0.02903225806451613), ('580332109782466561', 0.02903225806451613), ('580339825649291264', 0.02903225806451613), ('581293286268129280', 0.02903225806451613)]"
Top ten betweenness,"[('580477832826130432', 0.010001043950307965), ('580477320735133696', 0.009959285937989351), ('581034287522164736', 0.009499947802484601), ('580319078155468800', 0.009332915753210148), ('581023104970829824', 0.009186762710095), ('581063618730553344', 0.008998851654661239), ('581062346321190914', 0.008873577617705398), ('581064636373590016', 0.008560392525315794), ('580476902344941569', 0.00845599749451926), ('581063788150980608', 0.008184570414448273)]"
Top ten closeness,"[('580340476949086208', 0.0554531490015361), ('580333763512705025', 0.05464895635673625), ('580336417391439872', 0.047642679900744424), ('580319078155468800', 0.0471889400921659), ('580339547269144576', 0.04516129032258064), ('580319644218687488', 0.03796811271783463), ('580320979995508737', 0.037114896701703516), ('580349875851784192', 0.035551075268817206), ('580326222107951104', 0.035483870967741936), ('580350976026112000', 0.03412903225806452)]"
Top ten eigenvector,"[('580319078155468800', 0.7045106557867492), ('580319644218687488', 0.1711800618843771), ('580320979995508737', 0.1705577319998316), ('580319546592112640', 0.16111318624324397), ('580319622521442304', 0.16111318624324397), ('580319644013170688', 0.16111318624324397), ('580319878328020992', 0.16111318624324397), ('580320057017896961', 0.16111318624324397), ('580320203474542592', 0.16111318624324397), ('580320280607920128', 0.16111318624324397)]"
Top ten cluster coefficients,"[('580319078155468800', 0), ('580319546592112640', 0), ('580319622521442304', 0), ('580319644013170688', 0), ('580319644218687488', 0), ('580325778207932416', 0), ('580325939273424896', 0), ('580326288885420032', 0), ('580326388110114816', 0), ('580409410884894720', 0)]"
Diameter,21
Density,0.005725547142412613
Top ten hits,"[('580319644218687488', 0.056029147095757625), ('580320979995508737', 0.05582545157035913), ('580319546592112640', 0.05273414620673631), ('580319622521442304', 0.05273414620673631), ('580319644013170688', 0.05273414620673631), ('580319878328020992', 0.05273414620673631), ('580320057017896961', 0.05273414620673631), ('580320203474542592', 0.05273414620673631), ('580320280607920128', 0.05273414620673631), ('580320510833086465', 0.05273414620673631)]"
Top ten authorities,"[('580319078155468800', 1.2434368994329037), ('580325778207932416', 0.0776939797794614), ('580333382934089728', 0.07289097165760985), ('580326288885420032', 0.004537907171282845), ('580409595472060416', 0.004537907171282838), ('580337415241383938', 0.004536993446593256), ('580337829638598656', 0.00025037069999002805), ('580340476949086208', 8.413989035751878e-16), ('580326222107951104', 1.7306871652471798e-16), ('580349082406895616', 1.7256294826456552e-16)]"
The number of the connected components,35
The size of the largest connected component,43
