Number of nodes,243
Number of edges,520
Minimum in-degree,0
Maximum in-degree,47
Average in-degree,2.139917695473251
Median in-degree,1.0
Minimum out-degree,0
Maximum out-degree,36
Average out-degree,2.139917695473251
Median out-degree,1.0
Top ten degree,"[('21575717', 0.34297520661157027), ('243318995', 0.19421487603305787), ('15438913', 0.17768595041322316), ('331658004', 0.12396694214876033), ('35227730', 0.09504132231404959), ('435603158', 0.08677685950413223), ('17801749', 0.07851239669421488), ('34792486', 0.07851239669421488), ('1427757265', 0.0743801652892562), ('165335229', 0.07024793388429752)]"
Top ten betweenness,"[('21575717', 0.08789879176525725), ('127632704', 0.05944023912714973), ('331658004', 0.0460338479576504), ('199766003', 0.021347004560886115), ('243318995', 0.017600562394979598), ('34792486', 0.01635198700457095), ('550612446', 0.01616248079846722), ('137777900', 0.012756764171324715), ('275023883', 0.007237619666891661), ('2971201923', 0.006335516614656562)]"
Top ten closeness,"[('21575717', 0.1814196417334396), ('15438913', 0.1755403687221869), ('127632704', 0.17265540783327343), ('243318995', 0.17078904182498264), ('331658004', 0.16098950189859282), ('34792486', 0.1508002929176692), ('165335229', 0.15016667824154456), ('60741791', 0.13796398031815793), ('1015241814', 0.13561232156273478), ('24195377', 0.13484615025447075)]"
Top ten eigenvector,"[('21575717', 0.5384151221019012), ('165335229', 0.2676486625094023), ('36080516', 0.23564883604930847), ('331658004', 0.1987945258550725), ('34792486', 0.19801102175542082), ('127632704', 0.19657058984542458), ('46818339', 0.19259078964746967), ('35227730', 0.17234067563715644), ('576625715', 0.15646579704541172), ('274367522', 0.14227599989375242)]"
Top ten cluster coefficients,"[('2260255682', 1.0), ('567575673', 1.0), ('493235792', 1.0), ('1061585527', 1.0), ('1912565419', 1.0), ('420842266', 1.0), ('376884268', 1.0), ('572111302', 1.0), ('631906810', 1.0), ('1121781422', 1.0)]"
Diameter,9
Density,9
Top ten hits,"[('435603158', 0.04435710912546491), ('3028072109', 0.04359445180624645), ('35227730', 0.04182200328651251), ('275023883', 0.03956864668478299), ('49408574', 0.03424956692844134), ('21575717', 0.03382268315805886), ('627945776', 0.031273442080051506), ('550612446', 0.03072742173819502), ('331658004', 0.02939691154218732), ('3019929310', 0.02346605148733867)]"
Top ten authorities,"[('331658004', 0.0747104510068686), ('21575717', 0.0704629494464655), ('34792486', 0.06853689371290346), ('35227730', 0.060225373040180344), ('435603158', 0.0463937432268587), ('127632704', 0.04552332436276263), ('275023883', 0.04003992362577366), ('627945776', 0.0365452709821121), ('66662429', 0.03473686412585107), ('49408574', 0.034225636645152685)]"
The number of strongly connected components,"[64, 11, 10, 8, 6, 4, 4, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The number of weakly connected components,"[159, 49, 11, 7, 6, 4, 3, 2, 2]"
The size of the largest strongly connected component,64
The size of the largest weakly connected component,159
