Number of nodes,275
Number of edges,520
Minimum in-degree,0
Maximum in-degree,47
Average in-degree,1.8909090909090909
Median in-degree,1.0
Minimum out-degree,0
Maximum out-degree,36
Average out-degree,1.8909090909090909
Median out-degree,1.0
Top ten degree,"[('21575717', 0.30291970802919704), ('243318995', 0.17153284671532845), ('15438913', 0.15693430656934307), ('331658004', 0.1094890510948905), ('35227730', 0.08394160583941605), ('435603158', 0.07664233576642336), ('17801749', 0.06934306569343066), ('34792486', 0.06934306569343066), ('1427757265', 0.06569343065693431), ('165335229', 0.06204379562043796)]"
Top ten betweenness,"[('21575717', 0.06853337254797108), ('127632704', 0.04634466493374009), ('331658004', 0.03589190236338716), ('199766003', 0.016643940001604237), ('243318995', 0.013722895109756423), ('34792486', 0.012749399562586389), ('550612446', 0.012601644409617462), ('137777900', 0.009946258121440604), ('275023883', 0.0056430637444514235), ('2971201923', 0.00493970749445202)]"
Top ten closeness,"[('21575717', 0.16023194634851234), ('15438913', 0.1550393037619315), ('127632704', 0.15249127261186923), ('243318995', 0.15084287635637153), ('331658004', 0.1421878082462024), ('34792486', 0.13318857987618957), ('165335229', 0.13262896399435686), ('60741791', 0.12185139867516138), ('1015241814', 0.11977438619774386), ('24195377', 0.11909769475029898)]"
Top ten eigenvector,"[('21575717', 0.5383658499771709), ('165335229', 0.26762675536101915), ('36080516', 0.23562598883619465), ('331658004', 0.1988578262653613), ('34792486', 0.19807438077365275), ('127632704', 0.19658167310632638), ('46818339', 0.1925722427668682), ('35227730', 0.17240257074013227), ('576625715', 0.1564509659712316), ('274367522', 0.14226208214262417)]"
Average cluster coefficient,0.18838374948061373
Diameter,9
Density,0.0069011280690112805
Top ten hits,"[('435603158', 0.04435710912546479), ('3028072109', 0.043594451806246354), ('35227730', 0.04182200328651241), ('275023883', 0.03956864668478289), ('49408574', 0.03424956692844126), ('21575717', 0.03382268315805895), ('627945776', 0.03127344208005143), ('550612446', 0.030727421738194944), ('331658004', 0.029396911542187237), ('3019929310', 0.02346605148733862)]"
Top ten authorities,"[('331658004', 0.07471045100686848), ('21575717', 0.07046294944646599), ('34792486', 0.0685368937129033), ('35227730', 0.06022537304018021), ('435603158', 0.046393743226858616), ('127632704', 0.04552332436276259), ('275023883', 0.04003992362577357), ('627945776', 0.03654527098211202), ('66662429', 0.034736864125850975), ('49408574', 0.034225636645152616)]"
The number of strongly connected components,165
The number of weakly connected components,41
The size of the largest strongly connected component,64
The size of the largest weakly connected component,159
